ID,WT,N_mass,N_perc,d15N,C_mass,C_perc,d13C,C:N
SA501,2.15,82.44294991,3.942166,2.536966629,951.7743189,44.26857297,-29.84418615,11.54464172
SA504,2.36,28.05461823,1.244593,2.240809545,1038.301587,43.99582995,-30.97542905,37.01000593
SA506,3.07,60.37211709,2.114442,2.278339602,1345.278703,43.82015318,-30.02206626,22.28311293
SA509,2.4,36.75850267,1.711216,2.692690158,1023.599633,42.64998472,-30.42448035,27.8466085
PL501,3.83,39.26885355,1.162521,2.64253066,1456.694015,38.03378629,-32.13234998,37.09540471
PL510,3.6,38.40876364,1.199608,3.269670032,1485.205726,41.2557146,-31.94060315,38.66840755
PL511,2.68,33.5269239,1.374766,3.600724449,1228.188853,45.82794227,-32.0813973,36.632912
PL513,2.82,26.10910236,1.006191,7.136295947,1194.143744,42.34552283,-31.19054451,45.73668323
UR503,2.48,58.7519831,2.551852,3.197927645,1065.490955,42.96334496,-32.351527,18.1354041
UR507,2.79,61.65005699,2.469519,3.892299358,1190.08804,42.65548532,-32.56142076,19.30392441
UR510,3.1,56.02070658,1.9283,7.093662008,1305.636997,42.11732247,-32.1074179,23.30632862
UR528,2.96,50.04459081,1.822981,5.845947661,1271.121977,42.94331002,-32.01900424,25.3997876
AC502,2.15,88.13766878,4.313168,-1.369769048,919.0628166,42.74710775,-30.04502771,10.42758255
AC505,2.59,102.8982702,4.292342,1.281285427,1008.078209,38.92193855,-29.42057533,9.796843106
AC506,2.46,62.68161164,2.708316,-2.307773065,865.1201993,35.16748778,-28.73810038,13.80181806
AC507,2.54,52.02245453,2.161084,0.428358227,852.7590314,33.57319021,-29.38067389,16.39213373
UR500,2.07,67.86304412,3.278407929,4.568928285,877.0276677,42.36848636,-32.83040819,12.92349436
UR502,2.59,43.99471661,1.698637707,4.090852748,1134.766032,43.81336031,-32.77255297,25.79323427
UR515,2.28,34.55630542,1.515627431,3.068445163,1004.481243,44.05619489,-31.9962206,29.06795824
UR516,3,46.14140776,1.538046925,8.543263441,1307.814573,43.59381909,-33.2853377,28.34362098
UR517,2.17,33.55819341,1.546460526,6.36135187,947.5500209,43.66589958,-32.46983429,28.23602598
UR522,2.22,41.5165565,1.870115158,7.31356338,927.0335658,41.75826873,-32.32313899,22.32924992
UR529,2.95,57.81219078,1.959735281,6.087347657,1308.987771,44.37246681,-32.56827878,22.64207174
UR532,3.42,85.23812143,2.492342732,6.645338685,1465.494907,42.85072827,-32.63712263,17.19295173
UR533,2.41,57.21674005,2.374138591,5.894378091,1042.497735,43.25716742,-31.82453284,18.2201526
UR537,3.24,83.36605295,2.573026325,7.974670952,1388.51308,42.85534196,-30.71107252,16.65561738
UR538,3.62,48.36738953,1.336115733,4.355914115,1566.546936,43.27477723,-32.34515168,32.38849463
UR542,2.89,74.88420251,2.591148876,6.461454478,1268.352271,43.88762183,-31.37650726,16.93751457
AC509,2.84,46.20092713,1.626793209,2.152191448,951.8723332,33.51663145,-28.73807079,20.6028838
AC508,2.94,61.30662873,2.085259481,-0.168342402,1050.206339,35.72130404,-28.46435439,17.13038803
AC514,2.36,81.56168122,3.456003442,-2.052568365,942.4034597,39.93234999,-29.75609749,11.55448791
AC512,2.28,52.07706126,2.284081634,-2.769390955,844.9570135,37.05951813,-29.1843643,16.22512855
AC545,2.34,100.2774786,4.285362334,-2.500570518,968.8355141,41.4032271,-28.98937303,9.661546417
AC539,2.3,82.17494585,3.572823733,-2.62487082,904.8136718,39.33972486,-29.26580634,11.01082164
AC538,2.27,51.42129239,2.265255171,-1.568388732,915.4051897,40.32621981,-30.639323,17.802065
AC535,2.15,65.62629493,3.052385811,-2.123789221,841.5935351,39.14388535,-29.01227636,12.82402939
AC531,3.32,70.03762064,2.109566887,1.340690589,1132.058335,34.09814262,-29.74330531,16.16357501
AC525,2.86,121.2347189,4.238976186,-1.194160039,1172.137609,40.98383247,-29.92236122,9.668332798
AC521,3.61,95.02058005,2.632149032,-2.847969879,1330.72926,36.86230638,-30.38700228,14.00464257
AC549,3.09,90.09946056,2.915840148,-2.630722671,1190.248677,38.51937466,-30.21931226,13.21038627
PL541,2.03,19.12180596,0.941960885,3.568528491,907.1107291,44.68525759,-30.8082972,47.43854901
PL536,3.02,28.96251265,0.959023598,4.705866922,1319.151708,43.68052013,-31.35975074,45.54686687
PL530,3.59,45.98119341,1.280813187,4.239800082,1385.664386,38.59789375,-32.19054898,30.13545937
PL528,4.74,55.3374511,1.167456774,4.782704914,1985.769855,41.8938788,-32.58845764,35.88473657
PL527,3.14,37.92928067,1.207938875,5.615233348,1347.455736,42.91260306,-32.48070573,35.52547563
PL526,3.29,47.59551202,1.446672098,4.901913633,1476.761847,44.88637833,-32.20025177,31.02733397
PL523,2.75,34.18941034,1.243251285,3.729058554,1199.712556,43.62591112,-31.82601097,35.0901798
PL521,2.49,33.87369906,1.360389521,2.992544261,1099.816919,44.16935416,-32.27966112,32.46816703
PL519,2.53,26.97485749,1.066199901,6.861795699,1122.633063,44.37284835,-31.23360693,41.61775696
PL516,2.06,13.08139251,0.635019054,2.581253348,882.4149161,42.83567554,-32.07394072,67.45573267
PL514,3.05,34.67530858,1.136895363,3.595805225,1314.844312,43.10964957,-31.91157017,37.9187487
PL512,2.18,18.98147358,0.870709797,3.954199931,948.6748926,43.51719691,-32.18520694,49.97899076
SA547,2.8,46.65378761,1.6662067,3.049361114,1240.6939,44.31049643,-31.12199418,26.59363716
SA550,2.18,43.78334218,2.008410192,3.033710272,897.6792478,41.17794715,-31.66328158,20.50275751
SA551,2.73,58.32623142,2.136491993,3.190315779,1188.38406,43.53055165,-29.59694308,20.37477874
SA555,2.84,48.44458835,1.705795364,1.737873445,1218.81877,42.91615389,-32.50986598,25.15902831
SA560,2.31,35.218409,1.52460645,3.923187142,1041.597891,45.09081781,-30.06599603,29.57538176
SA562,2.12,29.51779414,1.39234878,1.917029699,937.6013254,44.22647761,-31.03518887,31.76393605
SA563,2.5,38.49451699,1.539780679,3.383927446,1039.418478,41.57673911,-30.33502456,27.00172802
SA564,2.24,51.50222798,2.299206606,2.885292506,959.1057724,42.81722198,-30.67423982,18.62260741
SA568,2.84,47.37213644,1.668032973,1.34894135,1176.066762,41.4108015,-31.19025447,24.82612883
SA569,2.19,36.7568495,1.678394954,2.923126426,888.4771145,40.56973126,-30.84353374,24.17174286
SA570,2.9,53.14385464,1.832546712,2.693436317,1245.731052,42.95624317,-31.5434685,23.44073572
SA573,2.12,30.99096184,1.461837823,5.230003675,752.5737722,35.49876284,-30.9730626,24.28365328
SA515,2.41,40.38766162,1.675836582,5.115644978,1023.537174,42.47042217,-30.43574885,25.3428184
