Plot,Uropappus,Acmispon,Salvia,Resample,2 Salvia,3 Salvia,4 Salvia,5 Salvia,6 Salvia
500,2,14,0.9,,,,,,
501,10,21,0.8,,,,,,
502,1,30,2.7,Yes,1.1,1.7,1.6,2,
503,3,48,0.6,,,,,,
504,2,35,1,,,,,,
505,16,41,2.2,Yes,1.5,1.3,1.5,0.9,
506,15,52,0.7,,,,,,
507,1,31,1.2,Yes,,,,,
508,4,45,1.2,,,,,,
509,6,47,1.4,Yes,0.7,,,,
510,1,14,1.4,,,,,,
511,5,21,2.1,Yes,1.3,0.5,,,
512,7,44,1.9,Yes,0.4,,,,
513,4,18,0.8,,,,,,
514,3,12,0.7,,,,,,
515,2,30,0.6,,,,,,
516,1,25,0.9,,,,,,
517,1,,0.9,,,,,,
518,54,184,,Yes,,,,,
519,7,13,0.9,Yes,0.7,,,,
520,6,34,0.8,,,,,,
521,11,91,2.3,Yes,,,,,
522,3,16,NA,,,,,,
523,9,15,1.6,Yes,2.5,1.3,0.8,0.5,
524,5,38,0.7,,,,,,
525,6,15,NA,,,,,,
526,2,17,0.9,,,,,,
527,5,37,1,,,,,,
528,1,26,0.9,,,,,,
529,1,11,0.4,,,,,,
530,2,29,1.1,,,,,,
531,8,23,1.4,,,,,,
532,1,38,0.8,,,,,,
533,1,20,0.7,,,,,,
534,2,64,0.5,,,,,,
535,8,85,2.2,Yes,2.3,1.8,1.6,1.7,1.2
536,1,50,0.7,,,,,,
537,3,33,1.7,Yes,1.2,1,,,
538,3,17,0.6,,,,,,
539,7,16,1,,,,,,
540,55,308,,Yes,,,,,
541,1,13,0.2,,,,,,
542,1,57,0.9,,,,,,
543,,41,1,Yes,,,,,
544,,296,,Yes,,,,,
545,4,53,0.5,,,,,,
546,5,21,1.3,,,,,,
547,2,54,1.1,Yes,,,,,
548,1,20,1.1,,,,,,
549,1,48,NA,,,,,,
550,2,21,0.7,,,,,,
551,6,58,0.8,,,,,,
552,1,19,0.4,Yes,,,,,
553,3,39,1.7,,,,,,
554,2,67,0.8,,,,,,
555,4,154,1.6,Yes,,,,,
556,3,29,0.4,,,,,,
557,3,37,1.3,,,,,,
558,8,13,1,,,,,,
559,6,49,1,,,,,,
560,1,29,1.2,,,,,,
561,6,47,0.2,Yes,,,,,
562,4,29,1.2,,,,,,
563,5,63,0.7,,,,,,
564,2,125,1.2,Yes,,,,,
565,19,35,2.3,Yes,1.1,,,,
566,1,96,0.3,,,,,,
567,1,16,1.1,,,,,,
568,2,65,0.8,,,,,,
569,2,67,0.8,Yes,,,,,
570,2,30,0.8,Yes,,,,,
571,3,60,2.1,Yes,1.6,1.6,0.9,1,
572,1,10,2,Yes,,,,,
573,2,7,1.1,,,,,,
574,2,16,1.2,,,,,,
575,24,372,,Yes,,,,,
576,3,28,1.1,,,,,,
577,2,94,1.6,,,,,,
578,11,27,2.7,Yes,0.9,1,,,
579,2,92,0.6,,,,,,
580,1,24,0.9,,,,,,
581,4,131,1.4,,,,,,
582,3,15,1.6,Yes,,,,,
583,5,61,0.7,,,,,,
584,3,17,1.7,,,,,,
585,1,25,0.7,,,,,,
586,6,55,1.2,,,,,,
587,28,91,0.9,,,,,,
588,1,62,1.4,,,,,,
589,1,26,0.4,,,,,,
590,1,35,0.7,Yes,,,,,
591,2,64,0.6,,,,,,
592,29,256,,Yes,,,,,
593,2,28,0.7,,,,,,
594,4,62,0.6,,,,,,
595,1,108,2.5,Yes,1.9,1.8,1.8,,
596,1,29,1.2,,,,,,
597,1,20,1.4,,,,,,
598,2,18,0.5,Yes,,,,,
599,1,30,1.1,,,,,,
600,1,92,0.9,,,,,,
601,3,35,1.5,,,,,,
602,1,12,1.6,,,,,,
603,2,126,1.1,Yes,,,,,
604,,147,1.2,,,,,,
605,10,200,1.6,Yes,1,,,,
606,9,126,1.8,,,,,,
607,2,5,1.1,Yes,,,,,
608,4,35,0.2,,,,,,
609,2,40,0.7,,,,,,
610,26,232,,Yes,,,,,
611,1,41,0.6,,,,,,
612,8,39,1.8,Yes,1.2,2.1,1.5,0.9,1.3
613,6,32,2.3,Yes,,,,,
614,1,131,1,,,,,,
615,1,55,1.1,,,,,,
616,3,158,0.9,,,,,,
617,1,22,0.8,,,,,,
618,3,38,0.6,,,,,,
619,3,42,1.1,,,,,,
620,7,19,1.4,,,,,,
621,1,28,1,,,,,,
622,3,37,0.8,,,,,,
623,1,24,0.7,,,,,,
624,1,30,0.8,,,,,,
625,1,27,0.4,,,,,,
626,4,41,0.9,Yes,,,,,
627,1,62,0.7,,,,,,
628,1,20,0.8,,,,,,
629,3,70,1.5,Yes,,,,,
630,2,11,0.9,,,,,,
631,3,40,1.5,,,,,,
632,4,34,1.1,,,,,,
633,5,84,2.1,Yes,,,,,
634,1,47,1.2,,,,,,
635,12,396,,Yes,,,,,
636,2,128,1.6,,,,,,
637,1,70,1.1,Yes,,,,,
638,1,72,1,Yes,,,,,
639,1,28,1.4,,,,,,
640,1,22,0.8,,,,,,
641,1,19,0.6,,,,,,
642,3,25,1.1,,,,,,
643,2,47,1.1,,,,,,
644,3,16,1.7,,1.1,,,,
645,7,47,1.5,,,,,,
646,1,18,0.3,,,,,,
647,8,90,0.8,Yes,,,,,
648,4,16,0.7,,,,,,
649,8,38,2.7,Yes,2.3,1.9,1.6,,
650,1,75,1.1,,,,,,
651,3,14,0.9,,,,,,
652,1,63,1.2,,,,,,
653,2,34,0.5,,,,,,
654,1,24,NA,,,,,,
655,2,58,0.9,Yes,,,,,
656,9,72,0.8,,,,,,
657,3,10,0.5,,,,,,
658,19,100,,Yes,,,,,
659,4,51,1.9,,,,,,
660,1,65,1.2,,,,,,
661,1,60,0.9,Yes,,,,,
662,1,40,1.1,,,,,,
663,1,19,0.8,,,,,,
664,2,20,1.1,,,,,,
665,1,26,1.4,,,,,,
666,1,24,0.6,,,,,,
667,2,60,1.7,,,,,,
668,1,20,0.6,,,,,,
669,3,27,0.7,,,,,,
670,2,38,0.2,Yes,,,,,
671,3,27,0.6,,,,,,
672,1,33,1.1,,,,,,
