"plot","treatment","sp1","sp2","focal","sp1_count","sp2_count"
500,"split","FE","UR","AC",53,33
500,"split","FE","UR","SA",51,17
500,"split","FE","UR","UR",40,18
501,"split","PL","SA","AC",44,51
501,"split","PL","SA","SA",33,12
501,"split","PL","SA","UR",28,24
502,"split","AC","UR","AC",11,28
502,"split","AC","UR","SA",4,14
502,"split","AC","UR","UR",9,21
503,"mix","SA","UR","AC",18,31
503,"mix","SA","UR","SA",42,22
503,"mix","SA","UR","UR",52,25
504,"mix","FE","SA","AC",60,28
504,"mix","FE","SA","SA",44,26
504,"mix","FE","SA","UR",49,30
505,"split","AC","FE","AC",11,25
505,"split","AC","FE","SA",13,44
505,"split","AC","FE","UR",19,6
506,"split","AC","SA","AC",12,32
506,"split","AC","SA","SA",16,42
506,"split","AC","SA","UR",17,61
507,"mix","AC","UR","AC",11,18
507,"mix","AC","UR","SA",11,21
507,"mix","AC","UR","UR",5,19
508,"mix","AC","FE","AC",7,29
508,"mix","AC","FE","SA",14,27
508,"mix","AC","FE","UR",5,38
509,"mix","AC","SA","AC",14,43
509,"mix","AC","SA","SA",8,54
509,"mix","AC","SA","UR",9,40
510,"mix","PL","UR","AC",0,21
510,"mix","PL","UR","SA",8,24
510,"mix","PL","UR","UR",36,20
511,"mix","FE","PL","AC",16,22
511,"mix","FE","PL","SA",12,7
511,"mix","FE","PL","UR",32,29
512,"split","AC","PL","AC",21,30
512,"split","AC","PL","SA",11,15
512,"split","AC","PL","UR",3,17
513,"mix","PL","SA","AC",32,44
513,"mix","PL","SA","SA",40,53
513,"mix","PL","SA","UR",22,24
514,"mix","AC","PL","AC",15,54
514,"mix","AC","PL","SA",11,41
514,"mix","AC","PL","UR",8,20
515,"split","SA","UR","AC",41,26
515,"split","SA","UR","SA",58,20
515,"split","SA","UR","UR",42,25
516,"split","PL","UR","AC",38,23
516,"split","PL","UR","SA",21,36
516,"split","PL","UR","UR",29,24
517,"mix","FE","UR","AC",30,32
517,"mix","FE","UR","SA",23,15
517,"mix","FE","UR","UR",24,22
518,"bare",NA,NA,"AC",0,0
518,"bare",NA,NA,"SA",0,0
518,"bare",NA,NA,"UR",0,0
519,"split","FE","PL","AC",33,53
519,"split","FE","PL","SA",37,34
519,"split","FE","PL","UR",34,29
520,"split","FE","SA","AC",27,44
520,"split","FE","SA","SA",16,13
520,"split","FE","SA","UR",28,27
521,"split","AC","PL","AC",12,15
521,"split","AC","PL","SA",8,13
521,"split","AC","PL","UR",7,27
522,"mix","AC","UR","AC",5,12
522,"mix","AC","UR","SA",7,10
522,"mix","AC","UR","UR",16,8
523,"mix","AC","PL","AC",8,18
523,"mix","AC","PL","SA",11,15
523,"mix","AC","PL","UR",8,23
524,"split","FE","SA","AC",34,30
524,"split","FE","SA","SA",28,23
