plot,replicate,treatment,sp1,sp2
500,1,split,FE,UR
501,1,split,PL,SA
502,1,split,AC,UR
503,1,mix,SA,UR
504,1,mix,FE,SA
505,1,split,AC,FE
506,1,split,AC,SA
507,1,mix,AC,UR
508,1,mix,AC,FE
509,1,mix,AC,SA
510,1,mix,PL,UR
511,1,mix,FE,PL
512,1,split,AC,PL
513,1,mix,PL,SA
514,1,mix,AC,PL
515,1,split,SA,UR
516,1,split,PL,UR
517,1,mix,FE,UR
518,1,bare,NA,NA
519,1,split,FE,PL
520,1,split,FE,SA
521,2,split,AC,PL
522,2,mix,AC,UR
523,2,mix,AC,PL
524,2,split,FE,SA
525,2,split,AC,FE
526,2,split,FE,PL
527,2,split,PL,SA
528,2,split,PL,UR
529,2,mix,SA,UR
530,2,mix,PL,SA
531,2,mix,AC,FE
532,2,split,SA,UR
533,2,mix,FE,UR
534,2,mix,FE,SA
535,2,split,AC,SA
536,2,mix,FE,PL
537,2,split,FE,UR
538,2,split,AC,UR
539,2,mix,AC,SA
540,2,bare,NA,NA
541,2,mix,PL,UR
542,3,split,SA,UR
543,3,split,PL,SA
544,3,bare,NA,NA
545,3,split,AC,FE
546,3,split,PL,UR
547,3,mix,SA,UR
548,3,split,FE,UR
549,3,mix,AC,UR
550,3,mix,FE,SA
551,3,mix,AC,SA
552,3,mix,FE,UR
553,3,split,AC,PL
554,3,mix,PL,UR
555,3,split,AC,SA
556,3,split,FE,PL
557,3,mix,FE,PL
558,3,mix,AC,PL
559,3,mix,AC,FE
560,3,mix,PL,SA
561,3,split,AC,UR
562,3,split,FE,SA
563,4,mix,FE,SA
564,4,mix,PL,SA
565,4,split,AC,PL
566,4,mix,FE,UR
567,4,split,PL,UR
568,4,split,SA,UR
569,4,split,PL,SA
570,4,mix,AC,SA
571,4,split,AC,FE
572,4,mix,AC,UR
573,4,mix,FE,PL
574,4,mix,AC,PL
575,4,bare,NA,NA
576,4,split,FE,UR
577,4,split,AC,SA
578,4,split,AC,UR
579,4,split,FE,PL
580,4,mix,SA,UR
581,4,split,FE,SA
582,4,mix,AC,FE
583,4,mix,PL,UR
584,5,mix,FE,PL
585,5,mix,PL,UR
586,5,split,FE,SA
587,5,split,AC,FE
588,5,split,PL,SA
589,5,mix,FE,UR
590,5,mix,AC,UR
591,5,mix,AC,SA
592,5,bare,NA,NA
593,5,mix,SA,UR
594,5,split,SA,UR
595,5,split,AC,SA
596,5,split,FE,PL
597,5,mix,FE,SA
598,5,split,PL,UR
599,5,split,FE,UR
600,5,mix,PL,SA
601,5,split,AC,UR
602,5,mix,AC,FE
603,5,split,AC,PL
604,5,mix,AC,PL
605,6,split,AC,FE
606,6,split,AC,UR
607,6,mix,PL,UR
608,6,mix,AC,UR
609,6,split,PL,SA
610,6,bare,NA,NA
611,6,mix,FE,UR
612,6,split,AC,PL
613,6,split,AC,SA
614,6,split,FE,SA
615,6,mix,AC,SA
616,6,split,SA,UR
617,6,split,FE,PL
618,6,mix,SA,UR
619,6,mix,AC,FE
620,6,mix,AC,PL
621,6,mix,FE,PL
622,6,mix,FE,SA
623,6,split,FE,UR
624,6,split,PL,UR
625,6,mix,PL,SA
626,7,split,AC,FE
627,7,split,SA,UR
628,7,split,PL,SA
629,7,split,AC,PL
630,7,split,PL,UR
631,7,mix,FE,SA
632,7,split,FE,SA
633,7,split,AC,UR
634,7,split,FE,UR
635,7,bare,NA,NA
636,7,mix,FE,PL
637,7,split,AC,SA
638,7,mix,AC,UR
639,7,mix,SA,UR
640,7,split,FE,PL
641,7,mix,PL,SA
642,7,mix,AC,PL
643,7,mix,FE,UR
