URLI,,SACO,,,ACWR
Seeds/head,,Diameter (mm),Seeds/head,,Seeds/head
76,,9.45,18,,3
82,,8.62,14,,5
53,,21.35,93,,6
134,,17.80,35,,5
31,,11.10,20,,4
40,,9.04,18,,5
66,,10.04,16,,5
50,,18.07,76,,4
89,,10.49,30,,6
77,,7.50,16,,4
110,,10.69,31,,6
107,,7.95,14,,4
93,,10.24,23,,5
90,,11.92,32,,5
76,,9.92,20,,4
79,,14.65,56,,5
41,,9.98,21,,4
50,,20.95,77,,4
51,,14.28,60,,5
83,,13.13,48,,4
96,,14.24,58,,5
84,,14.59,55,,4
81,,13.49,43,,3
55,,11.51,40,,4
91,,14.97,64,,4
62,,10.85,35,,4
95,,9.31,28,,5
51,,9.32,31,,5
93,,11.03,27,,4
77,,7.58,15,,4
75.43,,13.20,60,,3
23.48834389,,8.55,19,,3
,,10.80,33,,4.41
,,12.12,46,,0.8370214088
,,8.18,24,,
,,9.47,21,,
,,23.68,131,,
,,10.27,32,,
,,9.65,20,,
,,14.66,70,,
,,8.12,12,,
,,14.00,45,,
,,11.90,48,,
,,8.61,16,,
,,12.69,39,,
,,14.21,60,,
,,8.44,20,,
,,7.87,26,,
,,10.71,42,,
,,8.69,35,,
,,13.63,55,,
,,8.06,25,,
,,11.20,34,,
,,12.31,63,,
,,7.04,17,,
,,6.18,12,,
,,7.14,20,,
,,5.84,10,,
,,5.59,11,,
,,10.35,30,,
,,6.19,20,,
,,8.39,25,,
,,7.64,13,,
,,9.34,25,,
,,7.73,19,,
,,9.06,31,,
,,7.38,18,,
,,8.30,23,,
,,9.20,37,,
,,8.58,20,,
,,12.17,40,,
,,7.91,21,,
,,4.18,7,,
,,7.10,18,,
,,16.39,82,,
,,6.04,13,,
,,8.82,26,,
,,6.96,23,,
,,10.02,40,,
,,9.08,38,,
,,8.55,16,,
,,8.21,19,,
,,11.20,39,,
,,7.69,14,,
,,6.82,15,,
,,20.70,122,,
,,18.40,107,,
,,10.68,33,,
,,17.46,98,,
,,11.68,54,,
,,12.58,63,,
,,8.44,21,,
,,6.77,11,,
,,7.40,15,,
,,15.44,74,,
,,12.41,60,,
,,13.54,68,,
,,10.81,39,,
,,5.51,8,,
,,7.75,25,,
,,,36.3,,
