species,plot,height,axis1,axis2,leaf_fresh_mass,leaf_dry_mass (g),Rest of plant,biomass,LDMC,Leaf area,SLA,Notes
AC,502,16.5,28.4,24.5,0.201,0.031,3.849,3.88,0.154228856,5.18,167.0967742,
AC,505,9.2,34.9,19.8,0.203,0.037,3.338,3.375,0.18226601,5.226,141.2432432,
AC,506,7.4,29.3,11.4,0.111,0.023,0.897,0.92,0.207207207,3.407,148.1304348,
AC,507,18,4.6,1.8,0.15,0.035,0.243,0.278,0.233333333,3.409,97.4,
AC,508,21.9,19.5,9.4,0.154,0.033,1.138,1.171,0.214285714,3.287,99.60606061,
AC,509,25.3,27.6,14.9,0.251,0.044,1.839,1.883,0.175298805,5.387,122.4318182,
AC,512,15.1,22,16,0.149,0.028,1.807,1.835,0.187919463,3.77,134.6428571,
AC,514,17.5,14.3,14,0.081,0.014,1.344,1.358,0.172839506,2.283,163.0714286,
AC,521,23.5,14.5,12,0.141,0.024,1.744,1.768,0.170212766,4.208,175.3333333,
AC,525,16.4,17.6,13,0.192,0.031,0.665,0.696,0.161458333,5.74,185.1612903,
AC,531,13.7,9,7.5,0.179,0.031,0.791,0.822,0.173184358,3.679,118.6774194,
AC,535,22.1,24,15.3,0.159,0.024,2.019,2.043,0.150943396,4.029,167.875,
AC,538,17.1,17.2,14,0.093,0.017,0.687,0.704,0.182795699,2.732,160.7058824,
AC,539,13.1,20,15.4,0.12,0.022,3.688,3.71,0.183333333,3.038,138.0909091,
AC,545,17.6,26.7,16.7,0.134,0.021,4.821,4.842,0.156716418,3.867,184.1428571,
AC,549,13.1,4.5,2,0.07,0.013,0.185,0.198,0.185714286,2.07,159.2307692,
AC,551,15.4,16,13.6,0.131,0.021,1.758,1.779,0.160305344,3.402,162,
AC,553,23,15.6,9.2,0.111,0.019,1.192,1.211,0.171171171,3.342,175.8947368,
AC,555,25.2,16.6,10.5,0.25,0.036,2.013,2.049,0.144,6.223,172.8611111,
AC,558,16,9.4,6.3,0.131,0.024,0.54,0.564,0.183206107,3.575,148.9583333,
AC,559,14.2,13,12.1,0.196,0.03,1.25,1.28,0.153061224,3.394,113.1333333,
AC,561,16.5,20.6,18.1,0.163,0.025,1.456,1.481,0.153374233,4.49,179.6,
AC,565,17.5,23.1,11.4,0.149,0.026,2.663,2.689,0.174496644,3.889,149.5769231,
AC,570,22.9,20.4,7.9,0.177,0.026,0.968,0.994,0.146892655,4.013,154.3461538,
AC,571,10.9,16.1,13.9,0.102,0.017,0.701,0.718,0.166666667,2.897,170.4117647,
AC,572,19.9,13.4,10.5,0.255,0.04,2.025,2.065,0.156862745,5.696,142.4,
AC,573,16.5,19.6,19.1,0.149,0.026,1.191,1.217,0.174496644,3.397,130.6538462,
AC,574,23.6,10.5,4.1,0.143,0.027,0.743,0.77,0.188811189,3.878,143.6296296,
AC,577,9.5,28.3,24.5,0.121,0.018,3.363,3.381,0.148760331,3.213,178.5,
AC,578,18.2,13.8,11,0.117,0.014,1.54,1.554,0.11965812,3.039,217.0714286,
AC,582,18.5,15.5,12,0.135,0.018,0.638,0.656,0.133333333,4.085,226.9444444,
AC,587,11.3,25.3,19,0.134,0.022,2.566,2.588,0.164179104,3.335,151.5909091,
AC,590,21.2,15,13.9,0.138,0.025,0.747,0.772,0.18115942,4.087,163.48,
AC,591,20.7,13.4,11.9,0.106,0.018,1.766,1.784,0.169811321,2.844,158,
AC,595,20.8,18,16.6,0.143,0.023,1.855,1.878,0.160839161,3.515,152.826087,
AC,601,16.1,23.6,9.2,0.133,0.029,1.587,1.616,0.218045113,3.685,127.0689655,
AC,602,19.2,10.9,4.1,0.095,0.02,0.317,0.337,0.210526316,2.761,138.05,
AC,603,20.1,19.7,12.4,0.184,0.034,2.64,2.674,0.184782609,4.484,131.8823529,
AC,604,19.9,8.1,6.6,0.228,0.042,0.894,0.936,0.184210526,5.108,121.6190476,
AC,605,15.6,23.6,14.4,0.115,0.026,3.227,3.253,0.226086957,3.315,127.5,
AC,606,23,26.6,24.5,0.221,0.044,2.693,2.737,0.199095023,5.434,123.5,
AC,608,10.6,9.6,5.4,0.097,0.022,0.358,0.38,0.226804124,2.63,119.5454545,
AC,612,10.3,27.4,26.5,0.135,0.027,6.688,6.715,0.2,3.986,147.6296296,
AC,613,13.7,19,11.5,0.194,0.033,1.882,1.915,0.170103093,4.413,133.7272727,
AC,615,21,24.5,22.2,0.136,,,,,3.449,,
AC,619,16.1,14.5,12.7,0.142,,,,,3.298,,
AC,620,14.8,8.9,6.1,0.128,0.022,0.541,0.563,0.171875,2.753,125.1363636,
AC,626,21.3,25.4,23.8,0.159,,,,,3.967,,
AC,629,7.9,24.2,9.5,0.176,0.036,1.151,1.187,0.204545455,4.123,114.5277778,
AC,633,13.8,10.1,7.5,0.062,0.012,0.315,0.327,0.193548387,2.363,196.9166667,
AC,637,17,19.9,16.8,0.168,0.032,0.616,0.648,0.19047619,4.869,152.15625,
AC,638,17.1,28.9,24.8,0.14,0.032,2.137,2.169,0.228571429,3.665,114.53125,
AC,642,15,22.8,21.5,0.215,0.038,1.657,1.695,0.176744186,5.041,132.6578947,
AC,644,19.6,12.4,11,0.174,,,,,3.577,,
AC,645,7.1,19,16.5,0.168,0.036,0.831,0.867,0.214285714,3.446,95.72222222,
AC,647,15.9,28,21.6,0.181,0.036,1.77,1.806,0.198895028,5.079,141.0833333,
AC,648,21.1,11,8.9,0.143,,,,,3.339,,
AC,649,13.2,18.6,17,0.139,0.024,2.173,2.197,0.172661871,3.288,137,
AC,654,20.6,20.4,14.5,0.162,0.037,1.745,1.782,0.228395062,4.314,116.5945946,
AC,656,16.6,21.4,13.1,0.12,0.026,1.797,1.823,0.216666667,3.422,131.6153846,
AC,659,17.1,16.1,7.4,0.173,0.036,1.485,1.521,0.208092486,2.963,82.30555556,
AC,661,17.1,17.6,11.1,0.119,0.025,1.476,1.501,0.210084034,3.054,122.16,
AC,667,20.1,9.6,9.3,0.185,0.032,0.656,0.688,0.172972973,4.7,146.875,
AC,674,13.4,8.8,8.1,0.076,0.016,0.173,0.189,0.210526316,2.182,136.375,
AC,677,16,21.8,19.5,0.316,0.054,1.841,1.895,0.170886076,6.148,113.8518519,
AC,678,17.3,7.1,5.4,0.146,0.03,0.379,0.409,0.205479452,3.658,121.9333333,
AC,679,24,18.4,15.1,0.141,0.035,1.963,1.998,0.24822695,4.403,125.8,
AC,681,23.1,19.7,14.1,0.204,0.036,2.597,2.633,0.176470588,4.874,135.3888889,
AC,684,23.7,14.1,9.2,0.093,0.019,1.551,1.57,0.204301075,2.827,148.7894737,
AC,686,23.9,6.9,3,0.055,0.013,0.225,0.238,0.236363636,1.805,138.8461538,
AC,691,14.5,11.3,5.6,0.136,0.025,0.38,0.405,0.183823529,3.038,121.52,
AC,695,20,26.6,24.8,0.116,0.021,2.796,2.817,0.181034483,3.297,157,
AC,698,14.4,12,11.1,0.134,0.031,0.442,0.473,0.231343284,2.696,86.96774194,
AC,704,20.7,15.4,12.9,0.209,0.03,0.883,0.913,0.14354067,4.502,150.0666667,
AC,706,17.8,11.5,9.1,0.101,0.017,0.632,0.649,0.168316832,2.708,159.2941176,
AC,707,15.4,14.3,10.6,0.093,0.014,1.271,1.285,0.150537634,2.567,183.3571429,
AC,708,22,21.2,18.9,0.151,0.021,2.139,2.16,0.139072848,4.301,204.8095238,
AC,709,23.3,15,7.4,0.218,0.034,1.996,2.03,0.155963303,5.342,157.1176471,
AC,710,17.4,7.5,2.2,0.109,0.018,0.426,0.444,0.165137615,3.135,174.1666667,
AC,711,22.6,16.3,10.4,0.128,0.024,2.563,2.587,0.1875,3.681,153.375,
AC,712,17.3,19.1,11.7,0.135,0.017,1.604,1.621,0.125925926,3.636,213.8823529,
AC,713,12.1,16,14.8,0.136,0.021,1.03,1.051,0.154411765,3.456,164.5714286,
AC,716,16.8,12.6,10.9,0.162,0.027,0.693,0.72,0.166666667,4.289,158.8518519,
AC,718,13,27.1,19,0.135,0.019,2.237,2.256,0.140740741,3.665,192.8947368,
AC,723,15.2,8.2,5.6,0.151,0.028,0.39,0.418,0.185430464,3.706,132.3571429,
AC,729,9.8,28.7,26.8,0.129,0.022,5.377,5.399,0.170542636,4.28,194.5454545,
AC,732,15.8,18.4,14.7,0.143,0.022,1.759,1.781,0.153846154,3.682,167.3636364,
AC,737,16.4,28.3,20.1,0.16,0.023,1.851,1.874,0.14375,4.528,196.8695652,
AC,739,13.1,15.7,13.9,0.127,0.02,2.764,2.784,0.157480315,3.372,168.6,
AC,740,24,19.9,18.1,0.211,0.033,3.356,3.389,0.156398104,4.71,142.7272727,
AC,742,20.2,12.3,10.8,0.154,0.028,1.734,1.762,0.181818182,4.186,149.5,
AC,743,20.4,20.5,12.3,0.17,0.026,1.884,1.91,0.152941176,4.421,170.0384615,
AC,748,21,11.3,10.9,0.196,0.031,3.211,3.242,0.158163265,4.59,148.0645161,
AC,752,18.4,22.5,16.5,0.106,0.017,1.932,1.949,0.160377358,2.69,158.2352941,
AC,753,18.9,15.6,10.7,0.167,0.026,1.783,1.809,0.155688623,3.838,147.6153846,
AC,755,17.6,14.4,5.9,0.15,0.026,0.92,0.946,0.173333333,3.241,124.6538462,
AC,757,17.2,15.5,7.2,0.088,0.017,0.838,0.855,0.193181818,2.638,155.1764706,
AC,758,17.2,18.1,9.1,0.14,0.022,0.889,0.911,0.157142857,3.365,152.9545455,
AC,763,22.4,21,15.1,0.188,0.027,1.684,1.711,0.143617021,4.562,168.962963,
AC,766,13.2,9.4,8.1,0.075,0.015,0.247,0.262,0.2,2.065,137.6666667,
AC,767,16.1,15.2,12,0.115,0.02,2.429,2.449,0.173913043,2.993,149.65,
AC,769,15.6,19.1,13.9,0.164,0.029,3.1,3.129,0.176829268,4.186,144.3448276,
AC,776,23.9,10.1,7.4,0.133,0.022,0.846,0.868,0.165413534,3.829,174.0454545,
